year,film,actor,characters,imdb,gender,race,race_simple,words,sentences
1989,born-on-the-fourth-of-july,Dale Dye,COLONEL,http://www.imdb.com/name/nm0245653/,male,White/Caucasian,White,216.0,15.0
1989,born-on-the-fourth-of-july,David Warshofsky,LIEUTENANT,http://www.imdb.com/name/nm0913175/,male,White/Caucasian,White,290.0,40.0
1989,born-on-the-fourth-of-july,Frank Whaley,TIMMY,http://www.imdb.com/name/nm0001844/,male,White/Caucasian,White,104.0,14.0
1989,born-on-the-fourth-of-july,Jerry Levine,STEVE,http://www.imdb.com/name/nm0505842/,male,White/Caucasian,White,300.0,35.0
1989,born-on-the-fourth-of-july,John F. Kennedy,KENNEDY,,male,White/Caucasian,White,217.0,5.0
1989,born-on-the-fourth-of-july,Josh Evans,TOMMY,http://www.imdb.com/name/nm0262923/,male,White/Caucasian,White,140.0,22.0
1989,born-on-the-fourth-of-july,Kyra Sedgwick,DONNA,http://www.imdb.com/name/nm0001718/,female,White/Caucasian,White,188.0,30.0
1989,born-on-the-fourth-of-july,Lane R. Davis,STEVIE,http://www.imdb.com/name/nm0205001/,male,White/Caucasian,White,366.0,34.0
1989,born-on-the-fourth-of-july,Markus Flanagan,DOCTOR,http://www.imdb.com/name/nm0281074/,male,White/Caucasian,White,161.0,16.0
1989,born-on-the-fourth-of-july,Norma Moore,MOM,http://www.imdb.com/name/nm0601689/,female,White/Caucasian,White,348.0,45.0
1989,born-on-the-fourth-of-july,Raymond J. Barry,DAD,http://www.imdb.com/name/nm0000855/,male,White/Caucasian,White,189.0,20.0
1989,born-on-the-fourth-of-july,Richard Grusin,COACH,://www.imdb.com/name/nm0344702/,male,White/Caucasian,White,258.0,48.0
1989,born-on-the-fourth-of-july,Rocky Carroll,JIMMY,http://www.imdb.com/name/nm0140969/,male,Black/African American,POC,208.0,15.0
1989,born-on-the-fourth-of-july,Tom Berenger,MARINE SGT,http://www.imdb.com/name/nm0000297/,male,White/Caucasian,White,296.0,18.0
1989,born-on-the-fourth-of-july,Tom Cruise,RON + RONNIE,http://www.imdb.com/name/nm0000129/,male,White/Caucasian,White,1870.0,263.0
1989,dead-poets-society,Alexandra Powers,CHRIS,http://www.imdb.com/name/nm0694490/,female,White/Caucasian,White,221.0,69.0
1989,dead-poets-society,Allelon Ruggiero,MEEKS,http://www.imdb.com/name/nm0749456/,male,White/Caucasian,White,238.0,55.0
1989,dead-poets-society,Dylan Kussman,CAMERON,http://www.imdb.com/name/nm0476378/,male,White/Caucasian,White,350.0,71.0
1989,dead-poets-society,Ethan Hawke,TODD,http://www.imdb.com/name/nm0000160/,male,White/Caucasian,White,417.0,106.0
1989,dead-poets-society,Gale Hansen,CHARLIE,http://www.imdb.com/name/nm0360796/,male,White/Caucasian,White,801.0,206.0
1989,dead-poets-society,James Waterston,PITTS,http://www.imdb.com/name/nm0914209/,male,White/Caucasian,White,206.0,54.0
1989,dead-poets-society,Josh Charles,KNOX,http://www.imdb.com/name/nm0001038/,male,White/Caucasian,White,541.0,146.0
1989,dead-poets-society,Kurtwood Smith,MR PERRY + MR. PERRY,http://www.imdb.com/name/nm0001748/,male,White/Caucasian,White,220.0,53.0
1989,dead-poets-society,Norman Lloyd,MR NOLAN + MR. NOLAN,http://www.imdb.com/name/nm0516093/,male,White/Caucasian,White,341.0,80.0
1989,dead-poets-society,Robert Sean Leonard,NEIL,http://www.imdb.com/name/nm0000494/,male,White/Caucasian,White,956.0,228.0
1989,dead-poets-society,Robin Williams,KEATING,http://www.imdb.com/name/nm0000245/,male,White/Caucasian,White,926.0,221.0
1989,driving-miss-daisy,Alvin M. Sugarman,DR. WEIL,http://www.imdb.com/name/nm0837393/,male,White/Caucasian,White,149.0,10.0
1989,driving-miss-daisy,Dan Aykroyd,BOOLIE,http://www.imdb.com/name/nm0000101/,male,White/Caucasian,White,2040.0,326.0
1989,driving-miss-daisy,Esther Rolle,IDELLA,http://www.imdb.com/name/nm0738354/,female,Black/African American,POC,188.0,34.0
1989,driving-miss-daisy,Jessica Tandy,DAISY + |. DAISY,http://www.imdb.com/name/nm0001788/,female,White/Caucasian,White,3826.0,613.0
1989,driving-miss-daisy,Morgan Freeman,HOKE,http://www.imdb.com/name/nm0000151/,male,Black/African American,POC,3343.0,510.0
1989,driving-miss-daisy,Patti LuPone,FLORINE,http://www.imdb.com/name/nm0526985/,female,White/Caucasian,White,129.0,27.0
1989,field-of-dreams,Amy Madigan,ANNIE,http://www.imdb.com/name/nm0001496/,female,White/Caucasian,White,1501.0,233.0
1989,field-of-dreams,Anne Seymour,VEDA,http://www.imdb.com/name/nm0786800/,female,White/Caucasian,White,112.0,13.0
1989,field-of-dreams,Burt Lancaster,DOC + DOC GRAHAM,://Burt Lancaster,male,White/Caucasian,White,546.0,59.0
1989,field-of-dreams,Gaby Hoffmann,KARIN,http://www.imdb.com/name/nm0000451/,female,White/Caucasian,White,235.0,39.0
1989,field-of-dreams,James Earl Jones,MANN,http://www.imdb.com/name/nm0000469/,male,Black/African American,POC,1369.0,207.0
1989,field-of-dreams,Kevin Costner,RAY,http://www.imdb.com/name/nm0000126/,male,White/Caucasian,White,4163.0,612.0
1989,field-of-dreams,Ray Liotta,SHOELESS JOE,http://www.imdb.com/name/nm0000501/,male,White/Caucasian,White,465.0,73.0
1989,field-of-dreams,Timothy Busfield,MARK,http://www.imdb.com/name/nm0124079/,male,White/Caucasian,White,542.0,63.0
1989,my-left-foot,Adrian Dunbar,PETER,http://www.imdb.com/name/nm0001160/,male,White/Caucasian,White,151.0,27.0
1989,my-left-foot,Brenda Fricker,MRS. BROWN,http://www.imdb.com/name/nm0002084/,female,White/Caucasian,White,1365.0,276.0
1989,my-left-foot,Cyril Cusack,CASTLEWELLAND + READER,http://www.imdb.com/name/nm0159258/,male,White/Caucasian,White,349.0,43.0
1989,my-left-foot,Daniel Day-Lewis,CHRISTY,http://www.imdb.com/name/nm0000358/,male,White/Caucasian,White,1101.0,258.0
1989,my-left-foot,Declan Croghan,TOM,http://www.imdb.com/name/nm0188520/,male,White/Caucasian,White,128.0,24.0
1989,my-left-foot,Eanna MacLiam,BENNY,http://www.imdb.com/name/nm0533942/,male,White/Caucasian,White,147.0,45.0
1989,my-left-foot,Fiona Shaw,DR. COLE,http://www.imdb.com/name/nm0789716/,female,White/Caucasian,White,459.0,94.0
1989,my-left-foot,Raymond McAnally,MR. BROWN,http://www.imdb.com/name/nm2197708/,male,White/Caucasian,White,715.0,144.0
1989,my-left-foot,Ruth McCabe,MARY,http://www.imdb.com/name/nm0564502/,female,White/Caucasian,White,334.0,69.0
2015,bridge-of-spies,Alan Alda,WATTERS,https://pro-labs.imdb.com/name/nm0000257/,male,White/Caucasian,White,228.0,24.0
2015,bridge-of-spies,Amy Ryan,MARY,https://pro-labs.imdb.com/name/nm0752407/,female,White/Caucasian,White,279.0,41.0
2015,bridge-of-spies,Austin Stowell,POWERS,https://pro-labs.imdb.com/name/nm3271473/,male,White/Caucasian,White,122.0,33.0
