year,film,character,actor,word,count
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,4th,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,awrightl,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,babies,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,baby,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,bleed,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,blob,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,bodies,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,boy,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,championship,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,cry,8
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,drive,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,fat,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,fight,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,fought,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,further'n,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,girl,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,hear,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,hit,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,july,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,kill,3
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,kovic,6
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,life,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,means,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,morel,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,pay,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,people,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,pounds,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,powell,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,price,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,pump,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,ropes,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,sacrifice,3
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,scout,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,state,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,suffer,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,sweating,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,ta,2
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,tears,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,there.get,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,victory,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,wan,3
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,what/s,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,win,3
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,work,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,xqui,1
1989,born-on-the-fourth-of-july,COACH,Richard Grusin,you'r\_e,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,'bout,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,82nd,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,airborne,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,answer,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,arty,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,attitude,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,back,2
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,boys,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,butts,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,cast,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,cavalry,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,chinese,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,civilian,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,combat,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,coming,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,concepts,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,division,2
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,divisions,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,doubts,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,dune,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,dunes,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,eat,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,effort,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,finest,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,fire,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,force,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,forget,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,front,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,grid,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,guerilla,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,gung,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,hadl,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,hanoi,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,hard,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,heavy,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,ho,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,home,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,honor,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,ii,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,important,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,korea,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,lead,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,leave,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,military,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,mobile,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,nails,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,neg,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,newest,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,newpajpers,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,northwest,1
1989,born-on-the-fourth-of-july,COLONEL,Dale Dye,nva,1
