year,film,group,word,count
1989,born-on-the-fourth-of-july,POC,man,8
1989,born-on-the-fourth-of-july,White,ronnie,33
1989,born-on-the-fourth-of-july,White,hey,22
1989,born-on-the-fourth-of-july,White,dad,20
1989,born-on-the-fourth-of-july,White,tommy,19
1989,born-on-the-fourth-of-july,White,'em,17
1989,born-on-the-fourth-of-july,White,people,16
1989,born-on-the-fourth-of-july,White,wan,16
1989,born-on-the-fourth-of-july,White,good,13
1989,born-on-the-fourth-of-july,White,country,13
1989,born-on-the-fourth-of-july,White,mom,12
1989,born-on-the-fourth-of-july,White,kovic,11
1989,born-on-the-fourth-of-july,White,back,11
1989,born-on-the-fourth-of-july,White,war,10
1989,born-on-the-fourth-of-july,White,ta,10
1989,born-on-the-fourth-of-july,White,ron,10
1989,born-on-the-fourth-of-july,White,leave,10
1989,born-on-the-fourth-of-july,White,cry,9
1989,born-on-the-fourth-of-july,White,great,9
1989,born-on-the-fourth-of-july,White,world,8
1989,born-on-the-fourth-of-july,White,love,8
1989,born-on-the-fourth-of-july,White,long,8
1989,born-on-the-fourth-of-july,White,boy,8
1989,born-on-the-fourth-of-july,White,put,7
1989,born-on-the-fourth-of-july,White,wrong,7
1989,born-on-the-fourth-of-july,White,win,7
1989,born-on-the-fourth-of-july,White,time,7
1989,born-on-the-fourth-of-july,White,marine,7
1989,born-on-the-fourth-of-july,White,doctor,6
1989,born-on-the-fourth-of-july,White,shit,6
1989,born-on-the-fourth-of-july,White,donna,6
1989,born-on-the-fourth-of-july,White,goddamn,6
1989,born-on-the-fourth-of-july,White,marines,6
1989,born-on-the-fourth-of-july,White,hard,6
1989,born-on-the-fourth-of-july,White,home,6
1989,born-on-the-fourth-of-july,White,sergeant,6
1989,born-on-the-fourth-of-july,White,taking,6
1989,born-on-the-fourth-of-july,White,thing,6
1989,born-on-the-fourth-of-july,White,working,6
1989,born-on-the-fourth-of-july,White,college,6
1989,born-on-the-fourth-of-july,White,place,5
1989,born-on-the-fourth-of-july,White,wow,5
1989,born-on-the-fourth-of-july,White,massapequa,5
1989,born-on-the-fourth-of-july,White,vietnam,5
1989,born-on-the-fourth-of-july,White,men,5
1989,born-on-the-fourth-of-july,White,stevie,5
1989,born-on-the-fourth-of-july,White,understand,5
1989,born-on-the-fourth-of-july,White,pump,5
1989,born-on-the-fourth-of-july,White,care,5
1989,born-on-the-fourth-of-july,White,awright,5
1989,born-on-the-fourth-of-july,White,doc,5
1989,born-on-the-fourth-of-july,White,man,5
1989,born-on-the-fourth-of-july,White,make,5
1989,born-on-the-fourth-of-july,White,life,5
1989,born-on-the-fourth-of-july,White,leg,5
1989,born-on-the-fourth-of-july,White,fire,5
1989,born-on-the-fourth-of-july,White,heard,5
1989,born-on-the-fourth-of-july,White,fucking,5
1989,dead-poets-society,White,mr,54
1989,dead-poets-society,White,neil,46
1989,dead-poets-society,White,todd,23
1989,dead-poets-society,White,charlie,22
1989,dead-poets-society,White,knox,22
1989,dead-poets-society,White,sir,20
1989,dead-poets-society,White,uh,19
1989,dead-poets-society,White,chris,16
1989,dead-poets-society,White,hey,15
1989,dead-poets-society,White,chet,15
1989,dead-poets-society,White,keating,15
1989,dead-poets-society,White,god,15
1989,dead-poets-society,White,meeks,15
1989,dead-poets-society,White,guys,14
1989,dead-poets-society,White,anderson,14
1989,dead-poets-society,White,father,13
1989,dead-poets-society,White,gentlemen,13
1989,dead-poets-society,White,sit,12
1989,dead-poets-society,White,captain,12
1989,dead-poets-society,White,good,12
1989,dead-poets-society,White,great,11
1989,dead-poets-society,White,cameron,10
1989,dead-poets-society,White,dead,10
1989,dead-poets-society,White,excuse,10
1989,dead-poets-society,White,forget,10
1989,dead-poets-society,White,give,10
1989,dead-poets-society,White,dalton,10
1989,dead-poets-society,White,boys,9
1989,dead-poets-society,White,yawp,9
1989,dead-poets-society,White,made,8
1989,dead-poets-society,White,overstreet,8
1989,dead-poets-society,White,rip,8
1989,dead-poets-society,White,pitts,8
1989,dead-poets-society,White,poets,8
1989,dead-poets-society,White,hear,7
1989,dead-poets-society,White,listen,7
1989,dead-poets-society,White,told,7
1989,dead-poets-society,White,make,7
1989,dead-poets-society,White,stop,7
1989,dead-poets-society,White,part,7
1989,dead-poets-society,White,back,7
1989,dead-poets-society,White,danburry,7
1989,dead-poets-society,White,study,6
1989,dead-poets-society,White,welton,6
1989,dead-poets-society,White,thought,6
1989,dead-poets-society,White,time,6
1989,dead-poets-society,White,tonight,6
1989,dead-poets-society,White,coming,6
1989,dead-poets-society,White,love,6
1989,dead-poets-society,White,nolan,6
1989,dead-poets-society,White,poetry,6
1989,dead-poets-society,White,nuwanda,6
1989,dead-poets-society,White,page,6
1989,dead-poets-society,White,put,6
1989,dead-poets-society,White,man,5
1989,dead-poets-society,White,madman,5
1989,dead-poets-society,White,talk,5
1989,dead-poets-society,White,club,5
1989,dead-poets-society,White,ta,5
1989,dead-poets-society,White,minute,5
1989,dead-poets-society,White,left,5
1989,dead-poets-society,White,found,5
1989,dead-poets-society,White,funny,5
1989,dead-poets-society,White,group,5
1989,dead-poets-society,White,write,5
1989,dead-poets-society,White,carpe,5
1989,dead-poets-society,White,bad,5
1989,dead-poets-society,White,parents,5
1989,dead-poets-society,White,read,5
1989,dead-poets-society,White,poem,5
1989,dead-poets-society,White,open,5
1989,driving-miss-daisy,POC,miz,49
1989,driving-miss-daisy,POC,daisy,43
1989,driving-miss-daisy,POC,yassum,40
1989,driving-miss-daisy,POC,yo,24
1989,driving-miss-daisy,POC,'bout,21
1989,driving-miss-daisy,POC,dat,20
1989,driving-miss-daisy,POC,mist,18
1989,driving-miss-daisy,POC,jes,15
1989,driving-miss-daisy,POC,nome,15
1989,driving-miss-daisy,POC,werthan,15
1989,driving-miss-daisy,POC,car,14
1989,driving-miss-daisy,POC,de,14
1989,driving-miss-daisy,POC,back,13
1989,driving-miss-daisy,POC,dean,11
1989,driving-miss-daisy,POC,yonder,11
1989,driving-miss-daisy,POC,good,11
1989,driving-miss-daisy,POC,dis,10
1989,driving-miss-daisy,POC,time,10
1989,driving-miss-daisy,POC,idella,9
1989,driving-miss-daisy,POC,cain,9
1989,driving-miss-daisy,POC,nothin,9
1989,driving-miss-daisy,POC,talkin,9
1989,driving-miss-daisy,POC,doin,9
1989,driving-miss-daisy,POC,doan,9
1989,driving-miss-daisy,POC,day,8
1989,driving-miss-daisy,POC,ai,8
1989,driving-miss-daisy,POC,lawd,8
1989,driving-miss-daisy,POC,wid,8
1989,driving-miss-daisy,POC,woman,8
1989,driving-miss-daisy,POC,put,7
1989,driving-miss-daisy,POC,somethin,7
1989,driving-miss-daisy,POC,hoke,7
1989,driving-miss-daisy,POC,iain,7
1989,driving-miss-daisy,POC,thass,7
1989,driving-miss-daisy,POC,years,7
1989,driving-miss-daisy,POC,nice,6
1989,driving-miss-daisy,POC,mama,6
1989,driving-miss-daisy,POC,make,6
1989,driving-miss-daisy,POC,sto,6
1989,driving-miss-daisy,POC,give,6
1989,driving-miss-daisy,POC,run,6
1989,driving-miss-daisy,POC,lookin,5
1989,driving-miss-daisy,POC,sho,5
1989,driving-miss-daisy,POC,place,5
1989,driving-miss-daisy,POC,people,5
1989,driving-miss-daisy,POC,din,5
1989,driving-miss-daisy,POC,fo,5
1989,driving-miss-daisy,POC,fixin,5
1989,driving-miss-daisy,POC,feel,5
1989,driving-miss-daisy,POC,happen,5
1989,driving-miss-daisy,White,mama,35
1989,driving-miss-daisy,White,hoke,25
1989,driving-miss-daisy,White,car,22
1989,driving-miss-daisy,White,boolie,21
1989,driving-miss-daisy,White,back,21
1989,driving-miss-daisy,White,good,15
1989,driving-miss-daisy,White,florine,15
1989,driving-miss-daisy,White,business,14
1989,driving-miss-daisy,White,call,13
1989,driving-miss-daisy,White,god,13
1989,driving-miss-daisy,White,time,12
1989,driving-miss-daisy,White,thing,11
1989,driving-miss-daisy,White,put,11
1989,driving-miss-daisy,White,company,11
1989,driving-miss-daisy,White,christmas,10
1989,driving-miss-daisy,White,wrong,9
1989,driving-miss-daisy,White,things,9
1989,driving-miss-daisy,White,told,9
1989,driving-miss-daisy,White,drive,8
1989,driving-miss-daisy,White,wait,8
1989,driving-miss-daisy,White,werthan,8
1989,driving-miss-daisy,White,day,8
1989,driving-miss-daisy,White,talk,8
1989,driving-miss-daisy,White,fine,8
1989,driving-miss-daisy,White,bauer,8
1989,driving-miss-daisy,White,give,8
1989,driving-miss-daisy,White,idella,8
1989,driving-miss-daisy,White,make,8
1989,driving-miss-daisy,White,miss,8
1989,driving-miss-daisy,White,matter,7
1989,driving-miss-daisy,White,talking,7
1989,driving-miss-daisy,White,run,7
1989,driving-miss-daisy,White,temple,7
1989,driving-miss-daisy,White,home,7
1989,driving-miss-daisy,White,minute,7
1989,driving-miss-daisy,White,walter,7
1989,driving-miss-daisy,White,morning,6
1989,driving-miss-daisy,White,read,6
1989,driving-miss-daisy,White,hey,6
1989,driving-miss-daisy,White,hear,6
1989,driving-miss-daisy,White,pantry,6
1989,driving-miss-daisy,White,mobile,6
1989,driving-miss-daisy,White,luther,6
1989,driving-miss-daisy,White,king,6
1989,driving-miss-daisy,White,knew,6
1989,driving-miss-daisy,White,house,6
1989,driving-miss-daisy,White,martin,6
1989,driving-miss-daisy,White,uncle,6
1989,driving-miss-daisy,White,er,6
1989,driving-miss-daisy,White,dinner,6
1989,driving-miss-daisy,White,stop,6
1989,driving-miss-daisy,White,children,6
1989,driving-miss-daisy,White,salmon,5
1989,driving-miss-daisy,White,fool,5
1989,driving-miss-daisy,White,remember,5
1989,driving-miss-daisy,White,taught,5
1989,driving-miss-daisy,White,street,5
1989,driving-miss-daisy,White,find,5
1989,driving-miss-daisy,White,son,5
